age,income,home_ownership_type,employment_length,loan_amount,loan_interest_rate,is_default,loan_to_income_ratio,has_defaulted_before,credit_history_length,debt_to_stability_ratio
23,60000,MORTGAGE,0.0,8000,7.51,0,0.13,0,2,inf
22,35000,RENT,3.0,8000,14.27,0,0.23,0,3,0.1649
24,35000,RENT,8.0,8000,6.03,0,0.23,0,2,0.104
26,60000,MORTGAGE,3.0,30000,14.27,0,0.5,0,4,0.3279
25,60000,MORTGAGE,10.0,10000,16.77,0,0.17,0,3,0.0632
25,60000,MORTGAGE,7.0,12000,16.77,0,0.2,0,4,0.0874
26,35000,RENT,10.0,8000,,0,0.23,0,3,0.0953
22,35000,RENT,5.0,8000,7.29,0,0.23,0,2,0.1276
23,60000,OWN,2.0,5000,6.03,0,0.08,0,3,0.0632
23,60000,MORTGAGE,7.0,15000,7.9,0,0.25,0,3,0.1093
23,29000,RENT,0.0,8000,18.3,1,0.28,0,2,inf
23,29000,RENT,7.0,8000,12.73,1,0.28,0,3,0.1327
22,60000,MORTGAGE,1.0,10000,7.9,0,0.17,0,4,0.2186
22,35000,RENT,1.0,8000,12.41,0,0.23,0,3,0.3298
26,60000,MORTGAGE,10.0,8000,16.77,0,0.13,0,2,0.0505
25,60000,MORTGAGE,4.0,14000,7.9,0,0.23,0,2,0.1318
25,60000,MORTGAGE,6.0,4000,12.69,0,0.07,0,2,0.0311
22,35000,RENT,1.0,8000,9.2,0,0.23,0,3,0.3298
24,60000,MORTGAGE,6.0,10000,8.9,0,0.17,0,2,0.0779
23,35004,RENT,7.0,8000,,0,0.23,0,3,0.1099
22,29570,RENT,6.0,8000,14.42,1,0.27,1,4,0.139
22,60000,MORTGAGE,6.0,3950,10.65,0,0.07,0,2,0.0308
22,60000,MORTGAGE,3.0,5000,7.9,0,0.08,0,2,0.0546
26,60000,MORTGAGE,7.0,16000,7.9,0,0.27,0,2,0.1166
26,30000,RENT,6.0,8000,,1,0.27,0,3,0.137
23,36000,RENT,0.0,8000,7.51,0,0.22,0,2,inf
22,30000,RENT,2.0,8000,11.11,1,0.27,0,3,0.2427
25,60000,OWN,0.0,9000,9.91,0,0.15,0,3,inf
24,60000,MORTGAGE,8.0,3000,10.65,0,0.05,0,2,0.0207
23,36000,RENT,5.0,8000,,0,0.22,0,2,0.124
21,30000,RENT,3.0,8000,16.45,1,0.27,1,2,0.1924
23,60000,OWN,7.0,11500,,0,0.19,0,4,0.0768
24,60000,MORTGAGE,9.0,1500,12.42,0,0.03,0,2,0.0099
22,36000,RENT,4.0,8000,15.33,0,0.22,0,2,0.1381
25,60000,MORTGAGE,9.0,23275,12.42,0,0.39,0,3,0.1532
22,60000,MORTGAGE,6.0,6000,9.91,0,0.1,0,4,0.0467
24,60000,MORTGAGE,2.0,10000,11.71,0,0.17,0,2,0.1379
24,60000,MORTGAGE,9.0,3000,7.51,0,0.05,0,4,0.0197
25,60000,MORTGAGE,1.0,5000,15.27,0,0.08,1,2,0.1093
24,36000,RENT,8.0,8000,11.48,0,0.22,0,4,0.1011
25,60000,MORTGAGE,9.0,9600,6.03,0,0.16,0,3,0.0632
24,60000,MORTGAGE,4.0,4000,7.9,0,0.07,0,3,0.0377
26,36903,RENT,3.0,8000,12.21,0,0.22,0,2,0.1564
22,30996,RENT,6.0,8000,7.14,1,0.26,0,4,0.1326
25,60000,MORTGAGE,4.0,8650,7.51,0,0.14,0,2,0.0814
22,37000,RENT,0.0,8000,8.94,0,0.22,0,2,inf
23,60000,MORTGAGE,7.0,6000,8.9,0,0.1,0,4,0.0437
22,60000,OWN,0.0,13250,7.9,0,0.22,0,3,inf
25,31008,RENT,7.0,8000,,1,0.26,0,3,0.1241
23,60000,MORTGAGE,6.0,1200,6.03,0,0.02,0,3,0.0093
22,31200,RENT,0.0,8000,14.3,1,0.26,1,3,inf
23,37440,RENT,8.0,8000,14.18,0,0.21,0,2,0.0972
23,37500,RENT,2.0,8000,14.26,0,0.21,0,4,0.1942
24,37648,RENT,0.0,8000,7.29,0,0.21,0,2,inf
22,60000,OWN,6.0,1000,10.99,0,0.02,0,2,0.0071
22,60000,OWN,7.0,15000,16.49,0,0.25,1,2,0.1002
24,54000,MORTGAGE,1.0,1500,5.42,1,0.03,0,3,0.0364
22,60000,MORTGAGE,6.0,16800,11.99,0,0.28,0,3,0.1308
24,37876,RENT,4.0,8000,9.63,0,0.21,0,2,0.1312
23,60000,MORTGAGE,7.0,12000,5.99,0,0.2,0,3,0.0874
22,60000,MORTGAGE,6.0,18000,12.99,0,0.3,0,2,0.1402
22,60000,MORTGAGE,6.0,2500,15.99,0,0.04,0,3,0.0195
22,60000,MORTGAGE,1.0,6750,10.99,0,0.11,0,4,0.1475
25,60000,MORTGAGE,6.0,8400,16.89,0,0.14,0,3,0.0654
23,38000,RENT,5.0,8000,10.65,0,0.21,0,3,0.1175
26,38000,RENT,4.0,8000,12.69,0,0.21,0,4,0.1308
24,38000,RENT,8.0,8000,11.49,0,0.21,0,2,0.0958
23,60000,MORTGAGE,8.0,21000,,0,0.35,0,3,0.1448
25,60000,MORTGAGE,2.0,6900,9.99,0,0.12,0,3,0.0952
25,60000,MORTGAGE,10.0,10000,11.49,0,0.17,0,2,0.0632
26,60000,MORTGAGE,3.0,2000,,0,0.03,0,4,0.0219
22,60000,MORTGAGE,5.0,8000,6.99,0,0.13,0,4,0.0676
23,60000,MORTGAGE,5.0,8850,6.99,0,0.15,0,3,0.0748
26,54000,MORTGAGE,10.0,8500,5.42,1,0.16,0,3,0.0597
23,38000,RENT,0.0,8000,6.17,0,0.21,0,2,inf
22,38004,RENT,2.0,8000,11.36,0,0.21,0,3,0.1916
22,38400,RENT,6.0,8000,7.88,0,0.21,0,4,0.1071
23,32698,RENT,3.0,8000,18.43,1,0.24,1,3,0.1765
23,60000,MORTGAGE,6.0,7000,12.99,0,0.12,0,4,0.0545
26,39000,RENT,2.0,8000,6.62,0,0.21,0,2,0.1867
25,60000,MORTGAGE,9.0,15000,8.49,0,0.25,0,3,0.0987
23,54000,MORTGAGE,3.0,4000,15.62,1,0.07,0,3,0.0486
23,60000,MORTGAGE,6.0,8000,13.49,0,0.13,1,2,0.0623
26,54000,MORTGAGE,11.0,4800,11.49,1,0.09,0,2,0.0325
22,60000,MORTGAGE,2.0,3500,9.99,0,0.06,0,2,0.0483
22,39860,RENT,6.0,8000,11.11,0,0.2,0,3,0.1031
22,39996,RENT,2.0,8000,7.14,0,0.2,0,4,0.1821
24,60000,MORTGAGE,8.0,17000,7.49,0,0.28,0,2,0.1172
22,60000,MORTGAGE,2.0,5200,5.99,0,0.09,0,2,0.0717
23,33996,RENT,7.0,8000,10.95,1,0.24,0,3,0.1132
25,40000,RENT,9.0,8000,12.42,0,0.2,0,2,0.0869
26,60000,MORTGAGE,6.0,5000,9.99,0,0.08,0,2,0.0389
22,40000,RENT,1.0,8000,7.9,0,0.2,0,4,0.2885
25,60000,MORTGAGE,10.0,3600,5.99,0,0.06,0,3,0.0227
22,40000,RENT,2.0,8000,12.99,0,0.2,0,2,0.182
22,60000,MORTGAGE,5.0,5600,7.49,0,0.09,0,3,0.0474
24,34000,RENT,0.0,8000,16.49,1,0.24,1,3,inf
23,40000,RENT,3.0,8000,11.49,0,0.2,0,3,0.1443
21,40000,RENT,2.0,8000,9.63,0,0.2,0,2,0.182
23,54000,MORTGAGE,5.0,5200,13.99,1,0.1,0,3,0.0489
24,40000,RENT,4.0,8000,9.63,0,0.2,0,3,0.1243
24,40000,RENT,2.0,8000,6.17,0,0.2,0,2,0.182
22,40000,RENT,2.0,8000,11.36,0,0.2,0,4,0.182
23,60000,OWN,8.0,20000,7.49,0,0.33,0,3,0.1264
24,40000,RENT,0.0,8000,10.25,0,0.2,0,4,inf
25,60000,MORTGAGE,5.0,5000,,0,0.08,0,4,0.0423
24,60000,OWN,1.0,15000,16.89,0,0.25,1,2,0.3006
22,40000,RENT,2.0,8000,12.18,0,0.2,0,4,0.182
24,60000,MORTGAGE,3.0,4000,5.42,0,0.07,0,2,0.0437
24,40560,RENT,5.0,8000,7.66,0,0.2,0,2,0.1101
25,60000,OWN,1.0,10000,16.49,0,0.17,0,3,0.2004
24,60000,MORTGAGE,0.0,6000,5.42,0,0.1,0,3,inf
25,41000,RENT,3.0,8000,10.99,0,0.2,0,4,0.1408
21,35000,RENT,0.0,8000,19.79,1,0.23,1,4,inf
25,60000,MORTGAGE,5.0,10425,8.49,0,0.17,0,4,0.0882
26,35000,RENT,0.0,8000,15.31,1,0.23,1,2,inf
25,60000,MORTGAGE,2.0,12500,11.49,0,0.21,0,2,0.1724
24,60000,MORTGAGE,0.0,8500,10.59,0,0.14,0,3,inf
25,41579,RENT,9.0,8000,13.92,0,0.19,1,3,0.0836
26,54000,MORTGAGE,8.0,5000,15.62,1,0.09,1,4,0.0383
24,41600,RENT,0.0,8000,10.59,0,0.19,0,4,inf
24,60000,MORTGAGE,8.0,9600,12.99,0,0.16,0,2,0.0662
23,60000,MORTGAGE,7.0,5000,12.99,0,0.08,0,2,0.0364
23,36000,RENT,2.0,8000,7.51,1,0.22,0,2,0.2023
25,60000,MORTGAGE,1.0,4000,,0,0.07,0,4,0.0874
21,60000,MORTGAGE,5.0,10000,5.99,0,0.17,0,2,0.0846
25,60000,MORTGAGE,9.0,1800,8.49,0,0.03,0,4,0.0118
24,42000,RENT,2.0,8000,,0,0.19,0,4,0.1734
24,36000,RENT,1.0,8000,12.12,1,0.22,0,4,0.3206
25,42000,RENT,1.0,8000,5.99,0,0.19,0,2,0.2748
25,60000,MORTGAGE,0.0,4000,5.99,0,0.07,0,4,inf
22,60000,MORTGAGE,6.0,2800,10.99,0,0.05,0,4,0.0218
24,36000,RENT,6.0,8000,15.28,1,0.22,0,3,0.1142
22,60000,MORTGAGE,6.0,5000,5.99,0,0.08,0,4,0.0389
22,60000,MORTGAGE,2.0,10000,,0,0.17,0,2,0.1379
22,60000,MORTGAGE,6.0,6000,6.62,0,0.1,0,3,0.0467
23,60000,MORTGAGE,6.0,10000,5.42,0,0.17,0,4,0.0779
24,42000,RENT,0.0,8000,9.25,0,0.19,0,3,inf
25,42000,RENT,3.0,8000,,0,0.19,0,4,0.1374
25,36000,RENT,9.0,8000,12.73,1,0.22,1,2,0.0965
22,60000,MORTGAGE,1.0,4800,7.49,0,0.08,0,3,0.1049
23,60000,MORTGAGE,7.0,2000,15.23,0,0.03,1,2,0.0146
24,36000,RENT,2.0,8000,14.96,1,0.22,1,2,0.2023
23,42000,RENT,1.0,8000,12.84,0,0.19,0,4,0.2748
25,42500,RENT,1.0,8000,,0,0.19,1,4,0.2716
24,36816,RENT,0.0,8000,10.65,1,0.22,0,4,inf
24,60000,MORTGAGE,8.0,21000,,0,0.35,1,4,0.1448
23,42996,RENT,3.0,8000,11.11,0,0.19,0,2,0.1342
23,43000,RENT,3.0,8000,10.37,0,0.19,0,4,0.1342
22,60000,MORTGAGE,6.0,2500,6.99,0,0.04,0,3,0.0195
22,54000,MORTGAGE,0.0,6000,,1,0.11,0,3,inf
25,60000,MORTGAGE,3.0,3000,5.99,0,0.05,0,4,0.0328
24,60000,MORTGAGE,2.0,12000,9.99,0,0.2,0,2,0.1655
26,43000,RENT,1.0,8000,12.87,0,0.19,1,3,0.2684
22,43200,RENT,2.0,8000,5.99,0,0.19,0,3,0.1686
22,60000,MORTGAGE,1.0,10000,5.42,0,0.17,0,2,0.2186
25,43200,RENT,10.0,8000,,0,0.19,0,3,0.0772
24,43300,RENT,4.0,8000,7.29,0,0.18,0,4,0.1148
23,43800,RENT,8.0,8000,17.93,0,0.18,0,3,0.0831
22,60000,MORTGAGE,3.0,15000,7.49,0,0.25,0,4,0.1639
26,44000,RENT,10.0,8000,13.8,0,0.18,0,3,0.0758
22,44684,RENT,1.0,8000,12.04,0,0.18,1,2,0.2583
22,60000,MORTGAGE,6.0,12000,13.99,0,0.2,1,3,0.0934
25,54000,MORTGAGE,4.0,12000,17.49,1,0.22,0,4,0.1255
26,45000,RENT,5.0,8000,18.25,0,0.18,0,2,0.0992
25,60000,MORTGAGE,3.0,3200,5.42,0,0.05,0,4,0.035
23,39000,RENT,3.0,8000,16.49,1,0.21,0,3,0.148
24,39000,RENT,4.0,8000,,1,0.21,0,2,0.1275
23,60000,MORTGAGE,7.0,3800,5.42,0,0.06,0,3,0.0277
25,45000,RENT,4.0,8000,10.38,0,0.18,0,3,0.1105
26,60000,MORTGAGE,10.0,7875,7.66,0,0.13,0,3,0.0498
26,45000,RENT,3.0,8000,15.33,0,0.18,1,4,0.1282
23,39000,RENT,3.0,8000,11.36,1,0.21,0,3,0.148
24,45000,RENT,8.0,8000,12.73,0,0.18,1,4,0.0809
22,60000,MORTGAGE,7.0,10950,11.11,0,0.18,0,3,0.0798
24,60000,MORTGAGE,8.0,13000,7.29,0,0.22,0,2,0.0896
23,60000,OWN,3.0,10000,6.92,0,0.17,0,4,0.1002
22,60000,MORTGAGE,5.0,8800,10.37,0,0.15,0,4,0.0744
23,60000,MORTGAGE,3.0,4000,7.66,0,0.07,0,2,0.0437
22,45000,RENT,1.0,8000,12.84,0,0.18,1,3,0.2565
25,45000,RENT,1.0,8000,13.47,0,0.18,0,4,0.2565
21,45000,RENT,5.0,8000,,0,0.18,1,2,0.0992
25,39000,RENT,4.0,8000,11.34,1,0.21,1,2,0.1275
23,45286,RENT,5.0,8000,7.29,0,0.18,0,4,0.0986
22,45996,RENT,2.0,8000,7.51,0,0.17,0,3,0.1583
25,60000,MORTGAGE,9.0,6500,5.79,0,0.11,0,4,0.0428
22,46000,RENT,3.0,8000,6.17,0,0.17,0,2,0.1255
25,60000,MORTGAGE,1.0,5000,7.29,0,0.08,0,2,0.1093
26,60000,MORTGAGE,10.0,5000,6.92,0,0.08,0,4,0.0316
23,60000,MORTGAGE,7.0,12000,7.29,0,0.2,0,3,0.0874
23,60000,MORTGAGE,5.0,22000,13.06,0,0.37,1,3,0.186
24,40000,RENT,5.0,8000,9.88,1,0.2,0,2,0.1116
26,60000,MORTGAGE,10.0,12500,6.92,0,0.21,0,2,0.079
23,46330,RENT,0.0,8000,10.65,0,0.17,0,4,inf
24,46700,RENT,5.0,8000,15.65,0,0.17,1,3,0.0956
21,41000,RENT,4.0,8000,9.91,1,0.2,0,4,0.1212
26,47000,RENT,0.0,8000,10.0,0,0.17,0,4,inf
22,47000,RENT,0.0,8000,12.18,0,0.17,0,4,inf
22,60000,MORTGAGE,2.0,10000,,0,0.17,0,4,0.1379
23,60000,MORTGAGE,0.0,15000,10.37,0,0.25,0,4,inf
25,60000,MORTGAGE,6.0,13000,14.17,0,0.22,1,3,0.1012
24,60000,OWN,7.0,10000,10.37,0,0.17,0,4,0.0668
26,60000,MORTGAGE,6.0,3050,7.29,0,0.05,0,3,0.0237
26,60000,MORTGAGE,3.0,20000,10.74,0,0.33,0,4,0.2186
22,60000,MORTGAGE,6.0,7800,7.29,0,0.13,0,2,0.0607
25,47004,RENT,1.0,8000,12.53,0,0.17,1,4,0.2455
23,48000,RENT,5.0,8000,,0,0.17,0,2,0.093
24,42000,RENT,8.0,8000,16.29,1,0.19,0,4,0.0867
23,48000,RENT,3.0,8000,8.49,0,0.17,0,2,0.1202
22,48000,RENT,6.0,8000,12.99,0,0.17,1,3,0.0856
24,60000,MORTGAGE,7.0,15850,11.11,0,0.26,0,3,0.1155
22,60000,MORTGAGE,6.0,11200,5.79,0,0.19,0,4,0.0872
25,48000,RENT,2.0,8000,10.59,0,0.17,0,4,0.1517
23,60000,MORTGAGE,7.0,7200,,0,0.12,0,2,0.0525
25,60000,OWN,9.0,5000,7.29,0,0.08,0,4,0.0302
22,60000,MORTGAGE,7.0,12000,10.0,0,0.2,0,3,0.0874
25,48000,RENT,4.0,8000,14.35,0,0.17,0,2,0.1036
23,42000,RENT,3.0,8000,15.58,1,0.19,0,2,0.1374
25,60000,MORTGAGE,9.0,5500,10.74,0,0.09,0,2,0.0362
25,48000,RENT,2.0,8000,13.11,0,0.17,0,4,0.1517
26,48000,RENT,3.0,8000,9.96,0,0.17,0,3,0.1202
24,48500,RENT,5.0,8000,15.96,0,0.16,0,3,0.0921
22,60000,MORTGAGE,6.0,6125,6.17,0,0.1,0,3,0.0477
26,48701,RENT,3.0,8000,11.48,0,0.16,0,4,0.1185
25,49244,RENT,3.0,8000,8.0,0,0.16,0,3,0.1172
24,49992,RENT,5.0,8000,15.95,0,0.16,1,2,0.0893
21,44000,RENT,5.0,8000,16.29,1,0.18,0,3,0.1015
24,50000,RENT,8.0,8000,15.96,0,0.16,0,3,0.0728
24,50000,RENT,3.0,8000,12.42,0,0.16,0,2,0.1154
23,50000,RENT,0.0,8000,14.27,0,0.16,0,4,inf
22,50000,RENT,2.0,8000,6.62,0,0.16,0,3,0.1456
23,50000,RENT,4.0,8000,6.62,0,0.16,0,3,0.0994
24,60000,MORTGAGE,8.0,9000,,0,0.15,0,4,0.0621
25,50000,RENT,6.0,8000,7.9,0,0.16,0,4,0.0822
23,44000,RENT,5.0,8000,13.49,1,0.18,1,2,0.1015
25,60000,OWN,4.0,6500,6.17,0,0.11,0,3,0.0561
22,60000,MORTGAGE,6.0,2000,12.61,0,0.03,1,2,0.0156
26,60000,MORTGAGE,6.0,9000,6.91,0,0.15,0,3,0.0701
23,50000,RENT,0.0,8000,7.49,0,0.16,0,4,inf
24,50000,RENT,9.0,8000,9.99,0,0.16,0,2,0.0695
24,60000,OWN,4.0,5000,5.79,0,0.08,0,3,0.0431
23,60000,MORTGAGE,8.0,10000,,0,0.17,0,3,0.069
21,44000,RENT,6.0,8000,15.21,1,0.18,0,2,0.0934
24,60000,MORTGAGE,8.0,12000,9.62,0,0.2,0,4,0.0827
21,60000,MORTGAGE,5.0,8000,12.23,0,0.13,1,3,0.0676
23,60000,MORTGAGE,7.0,12000,,0,0.2,0,4,0.0874
21,60000,MORTGAGE,5.0,7800,9.99,0,0.13,0,2,0.066
22,60000,MORTGAGE,6.0,2000,6.54,0,0.03,0,3,0.0156
25,50000,RENT,4.0,8000,13.85,0,0.16,0,3,0.0994
24,60000,MORTGAGE,2.0,9700,8.88,0,0.16,0,3,0.1338
26,60000,MORTGAGE,0.0,7200,,0,0.12,0,4,inf
23,50000,RENT,0.0,8000,,0,0.16,0,4,inf
22,50000,RENT,2.0,8000,12.18,0,0.16,0,4,0.1456
23,60000,MORTGAGE,6.0,2000,10.36,0,0.03,0,2,0.0156
24,50000,RENT,0.0,8000,7.74,0,0.16,0,4,inf
23,60000,MORTGAGE,6.0,7000,6.54,0,0.12,0,3,0.0545
22,50000,RENT,2.0,8000,13.16,0,0.16,1,2,0.1456
25,44000,RENT,1.0,8000,12.92,1,0.18,0,4,0.2623
21,60000,MORTGAGE,5.0,6000,6.91,0,0.1,0,4,0.0507
23,60000,MORTGAGE,4.0,20000,6.54,0,0.33,0,3,0.1883
25,60000,MORTGAGE,7.0,8000,5.79,0,0.13,0,2,0.0583
23,60000,MORTGAGE,5.0,7200,,0,0.12,0,4,0.0609
23,50004,RENT,5.0,8000,12.73,0,0.16,0,4,0.0893
26,50049,RENT,5.0,8000,12.99,0,0.16,0,3,0.0892
21,50400,RENT,4.0,8000,15.62,0,0.16,1,2,0.0986
26,60000,MORTGAGE,4.0,7000,9.62,0,0.12,0,3,0.0659
23,60000,MORTGAGE,4.0,13000,6.91,0,0.22,0,2,0.1224
26,60000,MORTGAGE,2.0,5000,,0,0.08,0,4,0.069
25,60000,MORTGAGE,3.0,10000,10.36,0,0.17,0,4,0.1093
25,51996,RENT,6.0,8000,10.37,0,0.15,0,2,0.0791
24,52000,RENT,3.0,8000,10.99,0,0.15,0,4,0.111
24,52000,RENT,2.0,8000,7.51,0,0.15,0,4,0.14
26,52000,RENT,3.0,8000,10.25,0,0.15,0,4,0.111
23,52000,RENT,5.0,8000,13.22,0,0.15,0,2,0.0859
26,46000,RENT,3.0,8000,14.42,1,0.17,0,2,0.1255
22,60000,OWN,3.0,8700,15.58,0,0.14,1,4,0.0872
24,52000,RENT,1.0,8000,11.78,0,0.15,0,3,0.222
23,46000,RENT,2.0,8000,11.86,1,0.17,0,3,0.1583
25,60000,MORTGAGE,3.0,10000,11.49,0,0.17,0,4,0.1093
24,60000,MORTGAGE,3.0,20000,7.88,0,0.33,0,2,0.2186
25,60000,OWN,9.0,16000,7.88,0,0.27,0,4,0.0965
24,46500,RENT,2.0,8000,15.23,1,0.17,1,2,0.1566
24,52800,RENT,1.0,8000,12.87,0,0.15,1,3,0.2186
21,60000,OWN,0.0,16000,,0,0.27,0,2,inf
24,60000,MORTGAGE,8.0,14000,,0,0.23,0,2,0.0965
25,53000,RENT,9.0,8000,12.23,0,0.15,0,3,0.0656
23,53000,RENT,6.0,8000,14.26,0,0.15,1,4,0.0776
23,60000,MORTGAGE,7.0,12000,7.88,0,0.2,0,2,0.0874
26,53688,RENT,11.0,8000,5.42,0,0.15,0,4,0.06
23,54000,RENT,7.0,8000,10.99,0,0.15,0,4,0.0712
23,48000,RENT,3.0,8000,15.58,1,0.17,0,2,0.1202
24,54000,RENT,7.0,8000,7.88,0,0.15,0,3,0.0712
22,60000,MORTGAGE,6.0,17500,7.88,0,0.29,0,4,0.1363
24,54000,RENT,3.0,8000,8.07,0,0.15,0,4,0.1069
23,54000,MORTGAGE,5.0,10000,16.45,1,0.19,0,3,0.094
23,54500,RENT,2.0,8000,,0,0.15,0,2,0.1336
22,54600,RENT,6.0,8000,7.51,0,0.15,0,2,0.0753
26,54600,RENT,4.0,8000,13.8,0,0.15,1,4,0.091
22,48996,RENT,0.0,8000,14.96,1,0.16,1,2,inf
23,60000,MORTGAGE,5.0,15000,15.21,0,0.25,1,3,0.1268
23,54000,MORTGAGE,2.0,7500,15.58,1,0.14,0,2,0.1149
23,55000,RENT,2.0,8000,10.65,0,0.15,0,2,0.1324
23,54000,MORTGAGE,5.0,7750,10.38,1,0.14,0,4,0.0728
22,55000,RENT,6.0,8000,11.71,0,0.15,0,3,0.0747
23,55000,RENT,1.0,8000,5.42,0,0.15,0,4,0.2098
26,54000,MORTGAGE,2.0,6000,13.98,1,0.11,1,3,0.0919
23,60000,OWN,1.0,2000,11.12,0,0.03,0,4,0.0401
24,60000,MORTGAGE,5.0,14000,7.51,0,0.23,0,2,0.1184
22,60000,OWN,6.0,5900,11.12,0,0.1,0,2,0.0421
24,55000,RENT,8.0,8000,13.8,0,0.15,1,2,0.0662
23,55000,RENT,4.0,8000,9.25,0,0.15,0,2,0.0904
25,60000,MORTGAGE,3.0,7000,,0,0.12,0,3,0.0765
22,60000,MORTGAGE,7.0,7000,13.61,0,0.12,1,3,0.051
24,60000,MORTGAGE,6.0,2400,13.61,0,0.04,1,4,0.0187
22,49000,RENT,1.0,8000,6.91,1,0.16,0,2,0.2355
23,55000,RENT,7.0,8000,13.11,0,0.15,0,3,0.0699
22,60000,MORTGAGE,4.0,8000,7.14,0,0.13,0,2,0.0753
25,60000,OWN,9.0,4000,6.39,0,0.07,0,4,0.0241
24,60000,MORTGAGE,2.0,2600,11.49,0,0.04,0,4,0.0359
23,49161,RENT,1.0,8000,13.17,1,0.16,1,4,0.2348
23,55550,RENT,7.0,8000,,0,0.14,0,3,0.0693
26,60000,OWN,8.0,9800,,0,0.16,0,4,0.0619
25,56000,RENT,9.0,8000,5.99,0,0.14,0,2,0.062
25,60000,OWN,8.0,14000,11.12,0,0.23,0,2,0.0885
23,50000,RENT,7.0,8000,16.02,1,0.16,0,3,0.0769
22,60000,MORTGAGE,7.0,6000,10.38,0,0.1,0,2,0.0437
23,56000,RENT,1.0,8000,10.0,0,0.14,0,3,0.2061
24,56000,RENT,2.0,8000,7.51,0,0.14,0,3,0.13
22,54000,MORTGAGE,0.0,16000,7.51,1,0.3,0,2,inf
23,60000,MORTGAGE,7.0,10500,,0,0.17,0,4,0.0765
24,60000,MORTGAGE,3.0,4000,11.86,0,0.07,0,2,0.0437
24,60000,MORTGAGE,5.0,7000,7.14,0,0.12,0,2,0.0592
24,60000,MORTGAGE,9.0,5000,7.88,0,0.08,0,4,0.0329
23,60000,MORTGAGE,3.0,20000,7.88,0,0.33,0,4,0.2186
25,57600,RENT,0.0,8000,7.66,0,0.14,0,2,inf
23,57750,RENT,3.0,8000,7.49,0,0.14,0,3,0.0999
23,57996,RENT,5.0,8000,7.14,0,0.14,0,2,0.077
25,60000,MORTGAGE,5.0,3000,14.59,0,0.05,1,3,0.0254
25,60000,MORTGAGE,9.0,12000,10.99,0,0.2,0,2,0.079
25,60000,OWN,9.0,1400,14.22,0,0.02,1,3,0.0084
24,52000,RENT,8.0,8000,13.99,1,0.15,1,2,0.07
23,58000,RENT,4.0,8000,10.37,0,0.14,0,4,0.0857
22,52000,RENT,0.0,8000,15.58,1,0.15,0,3,inf
22,60000,OWN,6.0,10000,,0,0.17,1,3,0.0714
25,60000,OWN,8.0,25000,10.99,0,0.42,0,3,0.158
24,58033,RENT,4.0,8000,10.62,0,0.14,0,2,0.0857
22,60000,OWN,6.0,14000,7.88,0,0.23,0,2,0.0999
23,58600,RENT,3.0,8000,,0,0.14,1,3,0.0985
26,54000,MORTGAGE,10.0,10000,,1,0.19,0,3,0.0702
21,60000,MORTGAGE,2.0,6000,10.62,0,0.1,0,4,0.0827
22,60000,RENT,2.0,8000,13.49,0,0.13,0,3,0.1214
22,60000,RENT,2.0,8000,10.0,0,0.13,0,4,0.1214
25,60000,RENT,1.0,8000,5.42,0,0.13,0,2,0.1924
25,60000,RENT,6.0,8000,9.63,0,0.13,0,3,0.0685
21,60000,MORTGAGE,0.0,10000,,0,0.17,1,4,inf
25,60000,RENT,3.0,8000,11.86,0,0.13,0,4,0.0962
23,60000,MORTGAGE,3.0,13000,7.88,0,0.22,0,4,0.1421
26,60000,RENT,2.0,8000,13.61,0,0.13,0,4,0.1214
22,60000,RENT,6.0,8000,14.72,0,0.13,1,2,0.0685
25,54000,RENT,1.0,8000,11.49,1,0.15,0,4,0.2137
23,60000,RENT,3.0,8000,10.25,0,0.13,0,3,0.0962
22,60000,RENT,6.0,8000,7.88,0,0.13,0,2,0.0685
22,54000,RENT,4.0,8000,13.48,1,0.15,1,3,0.092
22,60000,MORTGAGE,4.0,3000,6.76,0,0.05,0,4,0.0282
23,60000,RENT,2.0,8000,,0,0.13,0,3,0.1214
25,54000,MORTGAGE,7.0,8400,14.59,1,0.16,0,2,0.068
24,60000,RENT,3.0,8000,14.59,0,0.13,1,3,0.0962
23,60000,RENT,2.0,8000,8.94,0,0.13,0,3,0.1214
23,60000,RENT,0.0,8000,11.14,0,0.13,0,3,inf
21,60000,MORTGAGE,4.0,12000,11.36,0,0.2,0,3,0.113
23,60000,MORTGAGE,5.0,4000,7.14,0,0.07,0,3,0.0338
21,60000,RENT,2.0,8000,11.26,0,0.13,0,3,0.1214
23,60000,RENT,1.0,8000,12.21,0,0.13,0,4,0.1924
22,60000,RENT,6.0,8000,11.14,0,0.13,0,3,0.0685
23,60228,RENT,7.0,8000,12.98,0,0.13,1,2,0.0639
23,60400,RENT,2.0,8000,9.25,0,0.13,0,4,0.1206
23,60000,MORTGAGE,7.0,10750,7.88,0,0.18,0,3,0.0783
23,61000,RENT,3.0,8000,13.22,0,0.13,1,2,0.0946
22,55000,RENT,5.0,8000,15.31,1,0.15,0,4,0.0812
24,55000,RENT,2.0,8000,14.61,1,0.15,0,2,0.1324
22,60000,MORTGAGE,3.0,3250,12.73,0,0.05,1,4,0.0355
22,60000,MORTGAGE,5.0,12500,13.11,0,0.21,1,2,0.1057
25,61440,RENT,9.0,8000,10.36,0,0.13,0,4,0.0565
26,55700,RENT,2.0,8000,13.49,1,0.14,1,4,0.1307
25,61995,RENT,2.0,8000,9.99,0,0.13,0,4,0.1175
